Time (s),Sample #,Channel A (V)
0.831235,733,-0.023652
0.831238,734,-0.023652
0.831240,735,0.020295
0.895635,736,0.020295
0.895692,737,0.020295
0.895696,738,-0.023652
0.895700,739,0.020295
0.895703,740,-0.023652
0.895706,741,-0.023652
0.895709,742,-0.023652
0.895711,743,0.020295
0.895714,744,0.020295
0.895717,745,0.020295
0.895719,746,-0.023652
0.895722,747,0.020295
0.895724,748,-0.023652
0.895727,749,0.020295
0.895730,750,0.020295
0.895732,751,-0.023652
0.895735,752,-0.023652
0.895737,753,-0.023652
0.895740,754,-0.023652
0.895742,755,0.020295
0.895745,756,0.020295
0.895747,757,0.020295
0.895750,758,0.020295
0.895752,759,0.020295
0.895755,760,-0.023652
0.895757,761,0.020295
0.895760,762,0.020295
0.895762,763,0.020295
0.895764,764,0.020295
0.895767,765,0.020295
0.895770,766,0.020295
0.895772,767,0.020295
0.895774,768,0.020295
0.895776,769,0.020295
0.895779,770,0.020295
0.895781,771,0.020295
0.895784,772,-0.023652
0.895786,773,-0.023652
0.895789,774,0.020295
0.895791,775,0.020295
0.895794,776,0.020295
0.895796,777,0.020295
0.895799,778,0.020295
0.895801,779,0.020295
0.895803,780,0.020295
0.895806,781,-0.023652
0.895808,782,0.020295
0.895810,783,0.020295
0.895812,784,-0.023652
0.895815,785,0.020295
0.961264,786,0.020295
0.961318,787,-0.023652
0.961323,788,-0.023652
0.961326,789,-0.023652
0.961329,790,0.020295
0.961331,791,0.020295
0.961334,792,-0.023652
0.961337,793,0.020295
0.961339,794,-0.023652
0.961342,795,0.020295
0.961344,796,-0.023652
0.961347,797,-0.023652
0.961350,798,0.020295
0.961353,799,0.020295
0.961355,800,0.020295
0.961358,801,-0.023652
0.961360,802,0.020295
0.961363,803,0.020295
0.961365,804,0.020295
0.961368,805,0.020295
0.961370,806,-0.023652
0.961373,807,-0.023652
0.961376,808,-0.023652
0.961378,809,0.020295
0.961381,810,0.020295
0.961383,811,-0.023652
0.961386,812,0.020295
0.961388,813,0.020295
0.961390,814,-0.023652
0.961393,815,-0.023652
0.961396,816,0.020295
0.961398,817,0.020295
0.961400,818,0.020295
0.961403,819,-0.023652
0.961405,820,0.020295
0.961408,821,-0.023652
0.961410,822,-0.023652
0.961413,823,0.020295
0.961415,824,0.020295
0.961417,825,0.020295
0.961420,826,0.020295
0.961422,827,0.020295
0.961426,828,-0.023652
0.961429,829,0.020295
0.961432,830,0.020295
0.961436,831,-0.023652
0.961440,832,0.020295
0.961443,833,-0.023652
0.961447,834,-0.023652
0.961450,835,-0.023652
1.027077,836,0.020295
1.027131,837,0.020295
1.027135,838,0.020295
1.027138,839,0.020295
1.027140,840,-0.023652
1.027144,841,0.020295
1.027147,842,-0.023652
1.027150,843,0.020295
1.027153,844,0.020295
1.027155,845,0.020295
1.027158,846,0.020295
1.027160,847,-0.023652
1.027163,848,0.020295
1.027166,849,-0.023652
1.027168,850,-0.023652
1.027171,851,0.020295
1.027173,852,-0.023652
1.027176,853,-0.023652
1.027179,854,-0.023652
1.027181,855,-0.023652
1.027184,856,0.020295
1.027186,857,0.020295
1.027189,858,0.020295
1.027191,859,0.020295
1.027193,860,0.020295
1.027195,861,-0.023652
1.027198,862,-0.023652
1.027200,863,-0.023652
1.027203,864,0.020295
1.027205,865,-0.023652
1.027207,866,0.020295
1.027210,867,-0.023652
1.027213,868,-0.023652
1.027215,869,0.020295
1.027218,870,0.020295
1.027220,871,0.020295
1.027222,872,0.020295
1.027225,873,-0.023652
1.027227,874,-0.023652
1.027230,875,0.020295
1.027232,876,0.020295
1.027235,877,0.020295
1.027237,878,0.020295
1.027240,879,0.020295
1.027242,880,-0.023652
1.027245,881,-0.023652
1.027247,882,-0.023652
1.027250,883,0.020295
1.027252,884,-0.023652
1.027255,885,0.020295
1.027257,886,0.020295
1.027259,887,-0.023652
1.027262,888,0.020295
1.027264,889,-0.023652
1.027267,890,-0.023652
1.027269,891,-0.023652
1.027271,892,-0.023652
1.027274,893,0.020295
1.027276,894,0.020295
1.027279,895,-0.023652
1.027281,896,0.020295
1.027284,897,0.020295
1.027286,898,0.020295
1.027288,899,-0.023652
1.027291,900,0.020295
1.027293,901,-0.023652
1.027296,902,-0.023652
1.027298,903,0.020295
1.027300,904,0.020295
1.027303,905,0.020295
1.027305,906,0.020295
1.027308,907,0.020295
1.027310,908,0.020295
1.027312,909,-0.023652
1.027315,910,-0.023652
1.027317,911,0.020295
1.027319,912,-0.023652
1.027322,913,-0.023652
1.027325,914,0.020295
1.027327,915,0.020295
1.027329,916,0.020295
1.027332,917,-0.023652
1.027334,918,0.020295
1.027336,919,0.020295
1.027338,920,-0.023652
1.027341,921,-0.023652
1.027343,922,0.020295
1.027346,923,0.020295
1.027348,924,-0.023652
1.027350,925,0.020295
1.027353,926,0.020295
1.027355,927,-0.023652
1.027358,928,-0.023652
1.027360,929,0.020295
1.027362,930,-0.023652
1.027365,931,0.020295
1.027367,932,-0.023652
1.027369,933,0.020295
1.027372,934,-0.023652
1.027374,935,-0.023652
1.093749,936,0.020295
1.093787,937,0.020295
1.093791,938,0.020295
1.093794,939,0.020295
1.093797,940,0.020295
1.093799,941,-0.023652
1.093803,942,0.020295
1.093805,943,-0.023652
1.093808,944,0.020295
1.093811,945,0.020295
1.093813,946,0.020295
1.093816,947,0.020295
1.093818,948,-0.023652
1.093821,949,-0.023652
1.093823,950,-0.023652
1.093826,951,0.020295
1.093828,952,-0.023652
1.093830,953,0.020295
1.093833,954,-0.023652
1.093835,955,0.020295
1.093838,956,0.020295
1.093840,957,0.020295
1.093842,958,0.020295
1.093844,959,0.020295
1.093847,960,-0.023652
1.093849,961,0.020295
1.093852,962,0.020295
1.093854,963,0.020295
1.093856,964,0.020295
1.093858,965,0.020295
1.093861,966,0.020295
1.093863,967,-0.023652
1.093865,968,-0.023652
1.093868,969,0.020295
1.093871,970,0.020295
1.093873,971,0.020295
1.093875,972,0.020295
1.093878,973,0.020295
1.093880,974,-0.023652
1.093882,975,0.020295
1.093884,976,0.020295
1.093887,977,0.020295
1.093889,978,0.020295
1.093892,979,0.020295
1.093894,980,0.020295
1.093897,981,0.020295
1.093899,982,-0.023652
1.093902,983,0.020295
1.093904,984,0.020295
1.093906,985,0.020295
1.144499,986,-0.023652
1.144536,987,0.020295
1.144541,988,-0.023652
1.144545,989,0.020295
1.144549,990,-0.023652
1.144552,991,0.020295
1.144556,992,-0.023652
1.144559,993,-0.023652
1.144563,994,-0.023652
1.144566,995,0.020295
1.144569,996,0.020295
1.144572,997,-0.023652
1.144576,998,0.020295
1.144579,999,-0.023652
1.144582,1000,-0.023652
1.144586,1001,0.020295
1.144589,1002,0.020295
1.144592,1003,0.020295
1.144595,1004,0.020295
1.144599,1005,0.020295
1.144602,1006,-0.023652
1.144605,1007,-0.023652
1.144609,1008,0.020295
1.144612,1009,0.020295
1.144615,1010,0.020295
1.144618,1011,-0.023652
1.144622,1012,-0.023652
1.144625,1013,-0.023652
1.144629,1014,0.020295
1.144632,1015,0.020295
1.144635,1016,-0.023652
1.144638,1017,0.020295
1.144641,1018,0.020295
1.144644,1019,0.020295
1.144647,1020,0.020295
1.144650,1021,-0.023652
1.144654,1022,0.020295
1.144657,1023,0.020295
1.144660,1024,-0.023652
1.144664,1025,-0.023652
1.144667,1026,0.020295
1.144670,1027,0.020295
1.144673,1028,-0.023652
1.144676,1029,0.020295
1.144679,1030,-0.023652
1.144683,1031,-0.023652
1.144686,1032,-0.023652
1.144689,1033,0.020295
1.144692,1034,-0.023652
1.144696,1035,0.020295
1.209259,1036,-0.023652
1.209310,1037,0.020295
1.209314,1038,0.020295
1.209317,1039,-0.023652
1.209321,1040,0.020295
